cocktail,ndrugs,dose,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,response,rlog
3+4,2,1,0,0,1,1,0,0,0,0,0,0,0.771307692307692,-0.259667902919748
3+4,2,2,0,0,1,1,0,0,0,0,0,0,0.691076923076923,-0.369504140025395
3+4,2,3,0,0,1,1,0,0,0,0,0,0,0.568538461538461,-0.564686313658787
3+4,2,4,0,0,1,1,0,0,0,0,0,0,0.485692307692308,-0.722179967325737
3+4,2,5,0,0,1,1,0,0,0,0,0,0,0.418153846153846,-0.871905861172639
3+4,2,6,0,0,1,1,0,0,0,0,0,0,0.356615384615385,-1.03109743198403
3+4,2,7,0,0,1,1,0,0,0,0,0,0,0.319846153846154,-1.13991516802572
3+4,2,8,0,0,1,1,0,0,0,0,0,0,0.277384615384615,-1.28235023268041
3+4,2,9,0,0,1,1,0,0,0,0,0,0,0.251384615384615,-1.38077118046378
3+4,2,10,0,0,1,1,0,0,0,0,0,0,0.218,-1.52326021619305
3+4,2,11,0,0,1,1,0,0,0,0,0,0,0.181230769230769,-1.7079840916722
3+4,2,12,0,0,1,1,0,0,0,0,0,0,0.175769230769231,-1.73858333311537
3+4,2,13,0,0,1,1,0,0,0,0,0,0,0.165230769230769,-1.80041218081492
3+8,2,1,0,0,1,0,0,0,0,1,0,0,0.846428571428571,-0.166729462034118
3+8,2,2,0,0,1,0,0,0,0,1,0,0,0.674571428571429,-0.393677710391992
3+8,2,3,0,0,1,0,0,0,0,1,0,0,0.548,-0.601479992034121
3+8,2,4,0,0,1,0,0,0,0,1,0,0,0.492285714285714,-0.708696010949575
3+8,2,5,0,0,1,0,0,0,0,1,0,0,0.457714285714286,-0.781510119849201
3+8,2,6,0,0,1,0,0,0,0,1,0,0,0.422142857142857,-0.862411498197252
3+8,2,7,0,0,1,0,0,0,0,1,0,0,0.404714285714286,-0.904573928206934
3+8,2,8,0,0,1,0,0,0,0,1,0,0,0.325428571428571,-1.12261228403032
3+8,2,9,0,0,1,0,0,0,0,1,0,0,0.279428571428571,-1.27500857744269
3+8,2,10,0,0,1,0,0,0,0,1,0,0,0.222,-1.50507789710986
3+8,2,11,0,0,1,0,0,0,0,1,0,0,0.211142857142857,-1.5552203265293
3+8,2,12,0,0,1,0,0,0,0,1,0,0,0.193142857142857,-1.64432517143454
3+8,2,13,0,0,1,0,0,0,0,1,0,0,0.172714285714286,-1.75611657742266
4+10,2,1,0,0,0,1,0,0,0,0,0,1,0.723333333333333,-0.323885121115741
4+10,2,2,0,0,0,1,0,0,0,0,0,1,0.514,-0.665532013526972
4+10,2,3,0,0,0,1,0,0,0,0,0,1,0.414,-0.881889305156823
4+10,2,4,0,0,0,1,0,0,0,0,0,1,0.317166666666667,-1.14832788091404
4+10,2,5,0,0,0,1,0,0,0,0,0,1,0.285666666666667,-1.25292964905247
4+10,2,6,0,0,0,1,0,0,0,0,0,1,0.245416666666667,-1.40479783268445
4+10,2,7,0,0,0,1,0,0,0,0,0,1,0.201,-1.60445037092306
4+10,2,8,0,0,0,1,0,0,0,0,0,1,0.179,-1.72036947314138
4+10,2,9,0,0,0,1,0,0,0,0,0,1,0.14125,-1.95722390895559
4+10,2,10,0,0,0,1,0,0,0,0,0,1,0.119833333333333,-2.12165339048915
4+10,2,11,0,0,0,1,0,0,0,0,0,1,0.10425,-2.26096341830323
4+10,2,12,0,0,0,1,0,0,0,0,0,1,0.0859,-2.45457144999193
4+10,2,13,0,0,0,1,0,0,0,0,0,1,0.0725,-2.62416871712151
4+8,2,1,0,0,0,1,0,0,0,1,0,0,0.714090909090909,-0.336745001090786
4+8,2,2,0,0,0,1,0,0,0,1,0,0,0.532818181818182,-0.629575035304078
4+8,2,3,0,0,0,1,0,0,0,1,0,0,0.421909090909091,-0.862965412539332
4+8,2,4,0,0,0,1,0,0,0,1,0,0,0.332454545454545,-1.10125213363113
4+8,2,5,0,0,0,1,0,0,0,1,0,0,0.262181818181818,-1.33871705337567
4+8,2,6,0,0,0,1,0,0,0,1,0,0,0.194545454545455,-1.63708944376461
4+8,2,7,0,0,0,1,0,0,0,1,0,0,0.163909090909091,-1.80844332857719
4+8,2,8,0,0,0,1,0,0,0,1,0,0,0.129363636363636,-2.04512795369066
